Cohort_Month,1,2,3,4,5,6,7,8,9,10,11,12
2019-01,100.0,6.046511627906977,11.162790697674419,15.813953488372093,10.69767441860465,20.46511627906977,16.27906976744186,21.86046511627907,10.69767441860465,13.023255813953488,9.30232558139535,15.813953488372093
2019-02,100.0,7.291666666666667,9.375,16.666666666666664,17.708333333333336,22.916666666666664,19.791666666666664,15.625,12.5,11.458333333333332,16.666666666666664,
2019-03,100.0,10.16949152542373,19.774011299435028,14.124293785310735,18.07909604519774,18.64406779661017,12.429378531073446,12.429378531073446,8.47457627118644,10.734463276836157,,
2019-04,100.0,8.588957055214724,14.723926380368098,14.723926380368098,11.042944785276074,9.202453987730062,6.134969325153374,9.815950920245399,7.361963190184049,,,
2019-05,100.0,10.714285714285714,8.035714285714286,11.607142857142858,8.928571428571429,11.607142857142858,12.5,7.142857142857142,,,,
2019-06,100.0,14.5985401459854,16.05839416058394,8.75912408759124,8.02919708029197,10.218978102189782,8.02919708029197,,,,,
2019-07,100.0,13.829787234042554,4.25531914893617,6.382978723404255,11.702127659574469,9.574468085106384,,,,,,
2019-08,100.0,10.37037037037037,11.11111111111111,7.4074074074074066,5.9259259259259265,,,,,,,
2019-09,100.0,7.6923076923076925,3.8461538461538463,2.564102564102564,,,,,,,,
2019-10,100.0,6.896551724137931,4.597701149425287,,,,,,,,,
2019-11,100.0,10.294117647058822,,,,,,,,,,
2019-12,100.0,,,,,,,,,,,
